character_name,rarity,region,vision,arkhe,weapon_type,model,constellation,birthday,special_dish,affiliation,release_date,limited,voice_eng,voice_cn,voice_jp,voice_kr,ascension,ascension_specialty,ascension_material,ascension_boss,talent_material,talent_book_1-2,talent_book_2-3,talent_book_3-4,talent_book_4-5,talent_book_5-6,talent_book_6-7,talent_book_7-8,talent_book_8-9,talent_book_9-10,talent_weekly,hp_90_90,atk_90_90,def_90_90,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6
Kamisato Ayaka,5,Inazuma,Cryo,N/A,Sword,Medium Female,Grus Nivis,28-Sep,"""Snow on the Hearth""",Yashiro Commission,07/21/21,TRUE,Erica Mendez,Xiao N (?N),Saori Hayami (????),Lee Yu-ri (???),CRIT DMG,Sakura Bloom,Old Handguard,Perpetual Heart,Old Handguard,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Bloodjade Branch,12858,342,784,11954,318,729,11345,302,692,10448,278,637,9838,262,600,8951,238,546,8341,222,509,7462,198,455,6649,177,405,5779,154,352,5170,138,315,3455,92,211,2597,79,158,1001,27,61,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Kamisato Ayato,5,Inazuma,Hydro,N/A,Sword,Tall Male,Cypressus Custos,26-Mar,Quiet Elegance,Yashiro Commission,04/30/22,TRUE,Chris Hackney,Zhaolu (??),Akira Ishida (?? ?),Jang Min-hyeok (???),CRIT DMG,Sakura Bloom,Old Handguard,Dew of Repudation,Old Handguard,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Mudra of the Malefic General,13715,299,769,12751,278,715,12101,264,678,11144,243,624,10494,229,588,9548,208,535,8897,194,499,7960,174,446,1092,155,397,6165,135,345,5514,120,309,3685,81,206,2770,61,155,1068,24,60,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Kaveh,4,Sumeru,Dendro,N/A,Claymore,Tall Male,Paradisaea,9-Jul,The Endeavor,Independent Design Studio,05/02/23,FALSE,Ben Balmaceda,Liu Sanmu (???),Uchida Yuma (?? ??),Lee Jung-min (???),Elemental Mastery,Mourning Flower,Fungal Spores,Quelled Creeper,Fungal Spores,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Primordial Greenbloom,11962,233,750,11133,217,698,10601,207,665,9773,190,613,9240,180,579,8413,164,528,7880,153,494,7052,137,442,6342,123,398,5514,107,346,4981,97,312,3325,64,208,2576,50,161,1002,19,62,0.0,0.0,24.0,48.0,48.0,72.0,96.0
Keqing,5,Liyue,Electro,N/A,Sword,Medium Female,Trulla Cementarii,20-Nov,Survival Grilled Fish,Liyue Qixing,09/28/20,FALSE,Kayli Mills,Ying Xie (??),Eri Kitamura (?????),Lee Bo-hee (???),CRIT DMG,Cor Lapis,Whopperflower Nectar,Lightning Prism,Whopperflower Nectar,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Ring of Boreas,13103,323,799,12182,300,743,11561,285,705,10647,262,649,10025,247,612,9121,225,556,8500,209,519,7604,187,464,6776,167,413,5889,145,359,5268,130,321,3521,87,215,2646,65,161,1020,25,62,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Kirara,4,Inazuma,Dendro,N/A,Sword,Medium Female,Arcella,22-Jan,Energizing Bento,Komaniya Express,05/24/23,FALSE,Julia Gu,Sun Yanqi (???),Suzushiro Sayumi (?? ??),Kang Eun-ae (???),HP,Amakumo Fruit,Spectral Husk,Evergloom Ring,Spectral Husk,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Everamber,12179,223,546,11336,207,508,10794,197,483,9950,182,446,9408,172,421,8566,156,384,8024,146,359,7180,131,321,6457,118,289,5614,102,251,5072,92,227,3386,62,151,2623,48,117,1021,18,45,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Klee,5,Mondstadt,Pyro,N/A,Catalyst,Short Female,Trifolium,27-Jul,Fish-Flavored Toast,Knights of Favonius,10/20/20,TRUE,Poonam Basu,Hualing (??),Misaki Kuno (????),Bang Yeon-ji (???),Pyro DMG Bonus,Philanemo Mushroom,Divining Scroll,Everflame Seed,Divining Scroll,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Ring of Boreas,10287,311,615,9563,289,572,9076,274,542,8358,253,500,7870,238,470,7161,216,428,6673,202,399,5970,180,357,5319,161,318,4623,140,276,4136,125,247,2764,84,165,2077,63,124,801,24,48,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Kujou Sara,4,Inazuma,Electro,N/A,Bow,Tall Female,Flabellum,14-Jul,Faith Eternal,Tenryou Commission,09/01/21,FALSE,Jeannie Tirado,Yang Menglu (???),Asami Seto (?????),Mun Ji-yeong (???),ATK,Dendrobium,Damaged Mask,Storm Beads,Damaged Mask,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Ashen Heart,9570,195,628,8907,182,584,8481,173,556,7818,160,513,7393,151,485,6731,137,442,6305,129,414,5642,115,370,5074,104,333,4411,90,289,3985,81,262,2661,54,175,2061,42,135,802,16,53,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Kuki Shinobu,4,Inazuma,Electro,N/A,Sword,Medium Female,Tribulatio Demptio,27-Jul,Omurice Waltz,Arataki Gang,06/21/22,FALSE,Kira Buckland,Yang Ning (??),Kaori Mizuhashi (?? ???),Kim Yool (??),HP,Naku Weed,Spectral Husk,Runic Fang,Spectral Husk,Teachings of Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Guide to Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Philosophies of Elegance,Tears of the Calamitous God,12288,212,750,11437,197,698,10890,188,665,10039,173,613,9492,164,579,8642,149,528,8095,139,494,7244,125,442,6515,112,398,5664,97,346,5117,88,312,3416,59,208,2646,45,161,1030,17,62,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Layla,4,Sumeru,Cryo,N/A,Sword,Medium Female,Luscinia,19-Dec,Extravagant Slumber,Rtawahist,11/18/22,FALSE,Ashely Biski,Hou Xiaofei (???),Tomita Miyu (????),Kang Sae-Bom (???),HP,Nilotpala Lotus,Divining Scroll,Perpetual Caliber,Divining Scroll,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Mirror of Mushin,11092,216,655,10324,201,609,9830,191,580,9062,176,535,8568,167,506,7801,152,460,7307,142,431,6539,127,386,5881,114,347,5113,99,302,4619,90,272,3084,60,182,2389,46,141,930,18,54,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Lisa,4,Mondstadt,Electro,N/A,Catalyst,Tall Female,Tempus Fugit,9-Jun,Mysterious Bolognese,Knights of Favonius,09/28/20,FALSE,Mara Junot,Ke Zhong (??),Rie Tanaka (????),Park Go-woon (???),Elemental Mastery,Valberry,Slime Condensate,Lightning Prism,Slime Condensate,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Dvalin's Claw,9570,232,573,8907,215,534,8481,205,508,7818,189,468,7393,179,443,6731,163,403,6305,153,378,5642,136,338,5074,123,304,4411,107,264,3985,96,239,2661,64,159,2061,50,123,802,19,48,0.0,0.0,24.0,48.0,48.0,72.0,96.0
Lumine,5,NA,Anemo,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Lumine,5,NA,Geo,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Lumine,5,NA,Electro,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Lumine,5,NA,Dendro,N/A,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Lumine,5,NA,Hydro,Pneuma,Sword,Medium Male,Viator,Player's Choice,None,None,08/16/23,N/A,Zach Aguilar,Luyin (??),Horie Shun (???),Lee Kyung-tae (???),ATK,Windwheel Aster,Damaged Mask,None,Transoceanic Pearl,Teachings of Equity,Guide to Justice,Guide to Order,Guide to Equity,Guide to Justice,Philosophies of Order,Philosophies of Equity,Philosophies of Justice,Philosophies of Order,Worldspan Fern,10875,212,683,10122,198,635,9638,188,605,8885,174,558,8401,164,527,7648,149,480,7164,140,450,6411,125,405,5766,113,362,5013,98,315,4529,88,284,3024,59,190,2342,46,147,912,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Lynette,4,Fontaine,Anemo,Ousia,Sword,Medium Female,Felis Alba,2-Feb,A Leisurely Sip,Hotel Bouffes d'ete,08/16/23,FALSE,Anairis Qui�ones,Kekewei (???),Sasahara Yu (???),Lee Myung-hwa (???),Anemo DMG Bonus,Lumidouce Bell,Meshing Gear,Artificed Spare Clockwork Component - Coppelia,Meshing Gear,Teachings of Order,Guide to Order,Guide to Order,Guide to Order,Guide to Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Philosophies of Order,Everamber,12397,231,711,11538,215,662,10987,205,630,10128,189,581,9576,178,549,8719,162,500,8167,152,468,7308,136,419,6573,122,377,5714,106,328,5162,96,296,3446,64,197,2670,49,153,1039,19,59,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Lyney,5,Fontaine,Pyro,Pneuma,Bow,Medium Male,Felis Fuscus,2-Feb,Cubic Tricks,Hotel Bouffes d'ete,08/16/23,TRUE,Daman Mills,Jinli (??),Shimono Hiro (???),Park Song-young (???),CRIT Rate,Rainbow Rose,Recruit's Insignia,Emperor's Resolution,Recruit's Insignia,Teachings of Equity,Guide to Equity,Guide to Equity,Guide to Equity,Guide to Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Primordial Greenbloom,11021,318,537,10246,295,500,9723,280,474,8955,258,437,8432,243,411,7672,221,374,7149,206,348,6396,184,312,5699,164,278,4953,142,241,4431,127,216,2961,85,144,2225,64,108,857,24,41,0.0%,0.0%,4.8%,9.6%,9.6%,14.4%,19.2%
Mika,4,Mondstadt,Cryo,N/A,Polearm,Medium Male,Palumbus,11-Aug,Surveyor's Breakfast Sandwich,Knights of Favonius,03/21/23,FALSE,Robb Moreira,Deng Youxi (???),Sanpei Y?ko (?????),Yoon Eun-seo (???),HP,Wolfhook,Recruit's Insignia,Pseudo-Stamens,Recruit's Insignia,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Mirror of Mushin,12506,223,713,11640,207,663,11083,197,632,10217,182,582,9660,172,550,8795,156,501,8239,146,469,7373,131,420,6630,118,378,5764,102,328,5208,92,297,3477,62,198,2693,48,153,1048,18,59,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Mona,5,Mondstadt,Hydro,N/A,Catalyst,Medium Female,Astrolabos,31-Aug,Der Weisheit Letzter Schluss (Life),Mondstadt,09/28/20,FALSE,Felecia Angelle,Tingting Chen (???),Konomi Kohara (????),Woo Jeong-sin (???),Energy Recharge,Philanemo Mushroom,Whopperflower Nectar,Cleansing Heart,Whopperflower Nectar,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Ring of Boreas,10409,287,653,9677,267,607,9184,253,576,8458,233,531,7964,220,500,7246,200,455,6752,186,424,6041,167,379,5383,148,338,4678,129,294,4185,115,263,2797,77,176,2102,58,132,810,22,51,0.0%,0.0%,8.0%,16.0%,16.0%,24.0%,32.0%
Nahida,5,Sumeru,Dendro,N/A,Catalyst,Short Female,Sapientia Oromasdis,27-Oct,Halvamazd,Sumeru City,11/02/22,TRUE,Kimberley Anne Campbell,Hualing (??),Tamura Yukari (?????),Park Shi-Yoon (???),Elemental Mastery,Kalpalata Lotus,Fungal Spores,Quelled Creeper,Fungal Spores,Teachings of Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Guide to Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Philosophies of Ingenuity,Puppet Strings,10360,298,630,9631,277,585,9140,263,556,8417,242,512,7926,228,482,7211,208,438,6720,193,408,6012,173,365,5357,154,325,4656,134,283,4165,120,253,2783,80,169,2092,60,127,806,23,49,0.0,0.0,28.8,57.6,57.6,86.4,115.2
Nilou,5,Sumeru,Hydro,N/A,Sword,Medium Female,Lotos Somno,3-Dec,Swirling Steps,Zubayr Theater,10/14/22,TRUE,Dani Chambers,Zisu Jiuyue (????),Kanemoto Hisako (????),Chae Rim (??),HP,Padisarah,Fungal Spores,Perpetual Caliber,Fungal Spores,Teachings of Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Guide to Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Philosophies of Praxis,Tears of the Calamitous God,15184,229,728,14117,213,677,13397,202,642,12338,186,591,11617,175,557,10570,159,507,9850,148,472,8812,133,422,7852,118,376,6825,103,327,6104,92,292,4079,61,195,3066,46,147,1182,17,56,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Ningguang,4,Liyue,Geo,N/A,Catalyst,Tall Female,Opus Aequilibrium,26-Aug,Qiankun Mora Meat,Liyue Qixing,09/28/20,FALSE,Erin Ebers,Mingya Du (???),Sayaka Ohara (?????),Gwak Gyu-mi (???),Geo DMG Bonus,Glaze Lily,Recruit's Insignia,Basalt Pillar,Recruit's Insignia,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Spirit Locket of Boreas,9787,212,573,9110,198,534,8674,188,508,7996,174,468,7561,164,443,6884,149,403,6448,140,378,5770,125,338,5189,113,304,4512,98,264,4076,88,239,2721,59,159,2108,46,123,821,18,48,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Noelle,4,Mondstadt,Geo,N/A,Claymore,Medium Female,Parma Cordis,21-Mar,Lighter-Than-Air Pancake,Knights of Favonius,09/28/20,FALSE,Laura Faye Smith,Yanning (??),Kanon Takao (????),Lee Bo-hee (???),DEF,Valberry,Damaged Mask,Basalt Pillar,Damaged Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Claw,12071,191,799,11235,178,743,10698,169,708,9862,156,652,9325,148,617,8490,134,562,7953,126,526,7117,113,471,6400,101,423,5564,88,368,5027,80,333,3356,53,222,2600,41,172,1012,16,67,0.0%,0.0%,7.5%,15.0%,15.0%,22.5%,30.0%
Neuvillette,5,Fontaine,Hydro,Pneuma,Catalyst,Tall Male,Leviathan Judicator,18-Dec,"""Consomme Purete""",Court of Fontaine,09/27/23,TRUE,Ray Chase,Sang Yuze (???),Kamiya Hiroshi (????),Kwak Yoon-sang (???),CRIT DMG,Lumitoile,Transoceanic Pearl,Fontemer Unihorn,Transoceanic Pearl,Teachings of Equity,Guide to Equity,Guide to Equity,Guide to Equity,Guide to Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Philosophies of Equity,Everamber,14695,208,576,13662,193,535,12965,183,508,11940,169,468,11243,159,441,10229,145,401,9532,135,373,8528,120,334,7599,107,298,6604,93,259,5908,83,231,3948,55,154,2967,42,116,1143,16,44,0.0%,0.0%,9.6%,19.2%,19.2%,28.8%,38.4%
Qiqi,5,Liyue,Cryo,N/A,Sword,Short Female,Pristina Nova,3-Mar,No Tomorrow,Bubu Pharmacy,09/28/20,FALSE,Christie Cate,Yanning (??),Yukari Tamura (?????),Lee Seul (??),Healing Bonus,Violetgrass,Divining Scroll,Hoarfrost Core,Divining Scroll,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Tail of Boreas,12368,287,922,11499,267,857,10912,253,814,10050,233,749,9463,220,706,8610,200,642,8023,186,598,7178,167,535,6396,148,477,5559,129,415,4973,115,371,3323,77,248,2498,58,186,963,22,72,0.0%,0.0%,5.5%,11.1%,11.1%,16.6%,22.2%
Raiden Shogun,5,Inazuma,Electro,N/A,Polearm,Tall Female,Imperatrix Umbrosa,26-Jun,None,Inazuma City,09/01/21,TRUE,Anne Yatco,Juhuahua (???),Miyuki Sawashiro (?????),Park Ji-yoon (???),Energy Recharge,Amakumo Fruit,Old Handguard,Storm Beads,Old Handguard,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Molten Moment,12907,337,789,12000,314,737,11388,298,696,10487,274,641,9875,258,604,8985,235,549,8373,219,512,7491,196,458,6675,175,408,5801,152,355,5189,136,317,3468,91,212,2606,68,159,1005,26,61,0.0%,0.0%,8.0%,16.0%,16.0%,24.0%,32.0%
Razor,4,Mondstadt,Electro,N/A,Claymore,Medium Male,Lupus Minor,9-Sep,Puppy-Paw Hash Brown,Wolvendom,09/28/20,FALSE,Todd Haberkorn,Shuai Zhou (??),K?ki Uchiyama (????),Kim Seo-yeong (???),Physical DMG Bonus,Wolfhook,Damaged Mask,Lightning Prism,Damaged Mask,Teachings of Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Guide to Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Philosophies of Resistance,Dvalin's Claw,11962,234,751,11134,217,699,10602,207,665,9773,191,613,9241,180,580,8413,164,528,7881,154,495,7052,138,443,6343,124,398,5514,108,346,4982,97,313,3326,65,209,2577,50,162,1003,20,63,0.0%,0.0%,7.5%,15.0%,15.0%,22.5%,30.0%
Rosaria,4,Mondstadt,Cryo,N/A,Polearm,Tall Female,Spinea Corona,24-Jan,Dinner of Judgement,Church of Favonius,04/06/21,FALSE,Elizabeth Maxwell,Anqi Zhang (???),Ai Kakuma (????),Kim Bo-na (???),ATK,Valberry,Recruit's Insignia,Hoarfrost Core,Recruit's Insignia,Teachings of Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Guide to Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Philosophies of Ballad,Shadow of the Warrior,12289,240,710,11438,223,661,10891,213,629,10040,196,580,9493,185,548,8643,169,499,8096,158,468,7245,141,418,6516,127,376,5665,111,327,5118,100,296,3417,67,197,2647,52,153,1030,20,60,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Sangonomiya Kokomi,5,Inazuma,Hydro,N/A,Catalyst,Medium Female,Dracanea Somnolenta,22-Feb,A Stunning Stratagem,Watatsumi Island,09/21/21,TRUE,Risa Mei,Guiniang (??),Suzuko Mimori (?????),Yeo Yun-mi (???),Hydro DMG Bonus,Sango Pearl,Spectral Husk,Dew of Repudation,Spectral Husk,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Hellfire Butterfly,13471,234,657,12524,218,611,11885,207,580,10945,190,534,10306,179,503,9377,163,457,8738,152,426,7818,136,381,6966,121,340,6055,105,295,5416,94,264,3619,63,177,2720,47,133,1049,18,51,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Sayu,4,Inazuma,Anemo,N/A,Claymore,Short Female,Nyctereutes Minor,19-Oct,Dizziness-Be-Gone no Justu Version 2.0,Shuumatsuban,08/10/21,FALSE,Lilypichu (Lily Ki),Sakula??,Aya Suzaki (???),Lee Ji-hyeon (???),Elemental Mastery,Crystal Marrow,Whopperflower Nectar,Marionette Core,Whopperflower Nectar,Teachings of Light,Guide to Light,Guide to Light,Guide to Light,Guide to Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Philosophies of Light,Gilded Scale,11854,244,745,11033,227,693,10505,216,660,9684,200,608,9157,189,575,8337,172,524,7809,161,491,6988,144,439,6285,130,395,5464,113,343,4937,102,310,3296,68,207,2553,53,160,994,20,62,0.0,0.0,24.0,48.0,48.0,72.0,96.0
Shenhe,5,Liyue,Cryo,N/A,Polearm,Tall Female,Crista Doloris,10-Mar,Heartstring Noodles,Cloud Retainer's Abode,01/05/22,TRUE,Chelsea Kwoka,Ziyi Qin(???),Ayako Kawasumi (????),Lee Hyun-jin (???),ATK,Qingxin,Whopperflower Nectar,Dragonheir's False Fin,Whopperflower Nectar,Teachings of Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Guide to Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Philosophies of Prosperity,Hellfire Butterfly,12993,304,830,21080,282,772,11463,268,732,10557,274,674,9941,232,635,9045,211,578,8429,197,538,7540,176,482,6719,157,429,5840,137,373,5224,122,334,3491,82,223,2624,61,168,1011,24,65,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
Shikanoin Heizou,4,Inazuma,Anemo,N/A,Catalyst,Medium Male,Cervus Minor,24-Jul,The Only Truth,Tenryou Commission,07/13/22,FALSE,Kieran Regan,Lin Jing (??),Iguchi Yuuichi (????),Jeong-Ui-jin (???),Anemo DMG Bonus,Onikabuto,Treasure Hoarder Insignia,Runic Fang,Treasure Hoarder Insignia,Teachings of Transience,Guide to Transience,Guide to Transience,Guide to Transience,Guide to Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,Philosophies of Transience,The Meaning of Aeons,10657,225,683,9919,209,636,9445,199,606,8706,183,558,8232,173,528,7495,158,480,7021,148,450,6283,132,403,5650,119,362,4912,103,315,4438,93,284,2963,62,190,2295,48,147,893,18,57,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Sucrose,4,Mondstadt,Anemo,N/A,Catalyst,Medium Female,Ampulla,26-Sep,Nutritious Meal (V.593),Knights of Favonius,09/28/20,FALSE,Valeria Rodriguez,Xiaogan (??),Akane Fujita (???),Kim Ha-yeong (???),Anemo DMG Bonus,Windwheel Aster,Whopperflower Nectar,Hurricane Seed,Whopperflower Nectar,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Spirit Locket of Boreas,9243,170,703,8603,158,654,8192,151,623,7552,139,574,7141,131,543,6501,120,494,6090,112,463,5450,100,414,4901,90,373,4261,78,324,3850,71,293,2570,47,195,1991,37,151,775,14,59,0.0%,0.0%,6.0%,12.0%,12.0%,18.0%,24.0%
Tartaglia,5,Snezhnaya,Hydro,N/A,Bow,Tall Male,Monoceros Caeli,20-Jul,A Prize Catch,Fatui,11/11/20,TRUE,Griffin Burns,Yudong (??),Ryohei Kimura (????),Nam Doh-hyeong (???),Hydro DMG Bonus,Starconch,Recruit's Insignia,Cleansing Heart,Recruit's Insignia,Teachings of Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Guide to Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Philosophies of Freedom,Shard of a Foul Legacy,13103,301,815,12182,280,757,11561,266,719,10647,245,662,10025,231,623,9121,210,567,8500,195,528,7604,175,473,6776,156,421,5889,135,366,5268,121,328,3521,81,219,2646,61,165,1020,23,63,0.0%,0.0%,7.2%,14.4%,14.4%,21.6%,28.8%
